# STATION 
# START_TIME 2021-04-02T13:31:11.000000Z
# SAMPING_FREQ 10.0
# NDAT 17290
# time [s],f000,f001,f002,f003
0.000000000000000000e+00,-8.474953304155448397e-02,5.729638123342490306e-03,2.073474184864456393e-01,-2.153689118591251284e-01
1.000000000000000056e-01,-2.969009182884517628e+01,2.060579343564962862e+00,7.318055568550914813e+01,-7.606793165722524463e+01
2.000000000000000111e-01,-4.138370454681581805e+02,2.904243686979316408e+01,1.026117251465891968e+03,-1.067836703467037069e+03
2.999999999999999889e-01,-1.867797530787886899e+03,1.323675714202176437e+02,4.654425084147673260e+03,-4.848677854264500638e+03
4.000000000000000222e-01,-3.911965378402143870e+03,2.806022199729705449e+02,9.748383244100132288e+03,-1.016036322586262213e+04
5.000000000000000000e-01,-4.458175289819842874e+03,3.233629376106664495e+02,1.092134399019123521e+04,-1.136767948810266535e+04
5.999999999999999778e-01,-3.667150853775278847e+03,2.601377872633498782e+02,8.536904497547409846e+03,-8.838581266901932395e+03
6.999999999999999556e-01,-3.760543232373999672e+03,2.496164868315913736e+02,8.589160420621346930e+03,-8.876814018622351796e+03
8.000000000000000444e-01,-4.225779888491441852e+03,2.800172313647651094e+02,9.921423288232293999e+03,-1.029328847634981867e+04
9.000000000000000222e-01,-3.886810315880859434e+03,2.691283253089204663e+02,9.121995909073742951e+03,-9.461586816522365552e+03
1.000000000000000000e+00,-3.796455896627652692e+03,2.604559494808368072e+02,8.812111609492356365e+03,-9.118287006024394941e+03
1.100000000000000089e+00,-4.073843687083894110e+03,2.658668551894104439e+02,9.548769036464993405e+03,-9.892297849816626695e+03
1.199999999999999956e+00,-3.934648508724236308e+03,2.594635136191250808e+02,9.228345361419114852e+03,-9.560592732082523071e+03
1.300000000000000044e+00,-3.841342770668956291e+03,2.637928481730788235e+02,8.981932239630055847e+03,-9.299922267769285099e+03
1.399999999999999911e+00,-3.974297924420900017e+03,2.716980983553938813e+02,9.374369725812288380e+03,-9.730982081415120774e+03
1.500000000000000000e+00,-3.918547956056183921e+03,2.648219513778476539e+02,9.245430539263066748e+03,-9.603851029683577508e+03
1.600000000000000089e+00,-3.882592203676859754e+03,2.655427845943685270e+02,9.093524818206966302e+03,-9.424503025531970707e+03
1.699999999999999956e+00,-3.960875132597332595e+03,2.756801294773060818e+02,9.298206549929569519e+03,-9.638288360508171536e+03
1.800000000000000044e+00,-3.915206647792977037e+03,2.741537806614286978e+02,9.242227909311035546e+03,-9.589028516574901005e+03
1.899999999999999911e+00,-3.872805870862896882e+03,2.655154944491833930e+02,9.159269475381870507e+03,-9.484751875896083220e+03
2.000000000000000000e+00,-3.917005396101966653e+03,2.669721798102145840e+02,9.279497861391935658e+03,-9.590608725961545133e+03
2.100000000000000089e+00,-3.911398968284028342e+03,2.770674008821662255e+02,9.256823279190377434e+03,-9.564687428349030597e+03
2.200000000000000178e+00,-3.900199494636466625e+03,2.812927746277553069e+02,9.196977217480762192e+03,-9.501837228864304052e+03
2.299999999999999822e+00,-3.917560372541398465e+03,2.730959178002984800e+02,9.256854379853093633e+03,-9.563675331919386736e+03
2.399999999999999911e+00,-3.905521822996560331e+03,2.586324992048819240e+02,9.251991737702983301e+03,-9.562776879416622251e+03
2.500000000000000000e+00,-3.908624165705176438e+03,2.562882400896806985e+02,9.216138095605510898e+03,-9.527608435470065160e+03
2.600000000000000089e+00,-3.929810404604732412e+03,2.681654551499870536e+02,9.245657265429825202e+03,-9.552893705940772634e+03
