# STATION 
# START_TIME 2021-04-02T14:00:00.000000Z
# SAMPING_FREQ 10.0
# NDAT 23400
# time [s],f000,f001,f002,f003
0.000000000000000000e+00,-2.768233733306328659e-02,-2.871367219526493528e-02,2.573463361612459153e+02,-2.464071800930033029e-01
1.000000000000000056e-01,-3.447088097156564945e+00,-5.083173736129973364e+00,1.029702083005296008e+05,-8.278547766553992915e+01
2.000000000000000111e-01,2.954372707486973582e+01,2.348789552024719640e+01,1.436026521038486622e+06,-1.131093968403784402e+03
2.999999999999999889e-01,3.770260570558739346e+02,3.918902915866912053e+02,6.930181845275571570e+06,-5.031645024152961923e+03
4.000000000000000222e-01,8.411589152163284098e+02,8.795694990898047081e+02,1.630144110669514351e+07,-1.031338543997873421e+04
5.000000000000000000e-01,7.978272950830844934e+01,8.225432794183038254e+01,1.697334914554469287e+07,-1.111666474678683517e+04
5.999999999999999778e-01,-9.509270407153823044e+02,-9.362052115562955805e+02,-3.042203077521130443e+06,-8.220045537015457739e+03
6.999999999999999556e-01,1.695041498161209006e+02,1.732669875981964935e+02,-2.132904838030508161e+07,-8.625700424342887345e+03
8.000000000000000444e-01,8.776335805318606162e+02,8.373491741217505933e+02,-8.460559415833279490e+06,-1.067639273161610981e+04
9.000000000000000222e-01,-3.698424849303134465e+02,-2.736829025645956790e+02,1.053842384995027259e+07,-9.702570105055991007e+03
1.000000000000000000e+00,-3.638094374631757546e+02,-3.665112535550001667e+02,4.981557260167236440e+06,-8.892737530747028359e+03
1.100000000000000089e+00,2.664804805152711538e+02,9.343645971492750846e+01,-3.344001362432928290e+06,-9.735166367976707988e+03
1.199999999999999956e+00,-1.746583554943916852e+02,-6.230237517370751732e+01,6.951559744056821801e+05,-9.581748072687569220e+03
1.300000000000000044e+00,-2.762710058852349562e+02,-2.858081732789587193e+01,-4.520708695075428113e+04,-9.182693156938512402e+03
1.399999999999999911e+00,4.103779345257226510e+02,3.875744634760321219e+02,-5.360872978476721793e+06,-9.575807688569355378e+03
1.500000000000000000e+00,5.911352231768626098e+02,3.195394266055137678e+02,9.131277104494145606e+05,-9.690585931277895725e+03
1.600000000000000089e+00,-5.896263181635572437e+02,-6.277712954900268869e+02,8.781164629461366683e+06,-9.458203615381316922e+03
1.699999999999999956e+00,-7.477087716766935728e+02,-4.202830716697806110e+02,-1.487638013951217290e+05,-9.322409129339133870e+03
1.800000000000000044e+00,9.528813816416056852e+02,9.670478687790464392e+02,-7.905900382907292806e+06,-9.421370049563869543e+03
1.899999999999999911e+00,6.155394655818143974e+02,4.210160802677312404e+02,5.892917336625191383e+05,-9.632563385581677721e+03
2.000000000000000000e+00,-1.015644046503321874e+03,-8.950751121508392316e+02,3.529377477925002109e+06,-9.531190660290423693e+03
2.100000000000000089e+00,-1.902658767938581832e+02,-2.034897371484236714e+02,-1.761816909110934241e+06,-9.404058126060001086e+03
2.200000000000000178e+00,2.210024616595559905e+02,4.347555228673891747e+01,2.270415643621860072e+06,-9.559800606740496733e+03
2.299999999999999822e+00,-4.961642979619457492e+02,-2.317603653787601274e+02,8.782932899633511901e+06,-9.621744959493707938e+03
2.399999999999999911e+00,1.345462560860994927e+03,1.498130368905531668e+03,9.385490757577318698e+06,-9.487282107901588461e+03
2.500000000000000000e+00,8.846524304217789449e+02,5.029965572509091771e+02,-1.640179574420310091e+06,-9.115427318438622024e+03
2.600000000000000089e+00,-2.648594691776752370e+03,-2.529297940821975772e+03,-2.137503920909795910e+07,-9.072151131098653423e+03
2.700000000000000178e+00,-2.607304718235806718e+02,1.838707488785756823e+02,-8.360073382013393566e+06,-1.006563023760744545e+04
2.799999999999999822e+00,2.702677759816812795e+03,2.376769319503712268e+03,3.016651846206582338e+07,-1.034138539568214037e+04
2.899999999999999911e+00,-8.793421739710713609e+02,-1.125812730219083960e+03,2.418949824274911731e+07,-9.048516476009335747e+03
3.000000000000000000e+00,-1.444613169038258548e+03,-1.013572705109698177e+03,-9.324673148691542447e+06,-8.759750530208702912e+03
3.100000000000000089e+00,1.524421326149434208e+03,1.433811492814493704e+03,-1.349031624258996546e+07,-9.536757759539646941e+03
3.200000000000000178e+00,-7.637370160001978547e+00,-2.999892482275293446e+02,-1.567446798925357126e+07,-9.352451442319008493e+03
3.299999999999999822e+00,-1.015074436589925881e+03,-5.425897494238718082e+02,-2.245335011818978935e+07,-9.401481040288306758e+03
3.399999999999999911e+00,6.180163145289194517e+02,6.734015277601545222e+02,-6.768887871721284464e+05,-1.008039764871025545e+04
3.500000000000000000e+00,-3.702399416178320735e+02,-9.262770240187511490e+02,1.160837730851009116e+07,-9.587293762627552496e+03
3.600000000000000089e+00,-4.450408657817191624e+02,-2.084379676360892972e+02,-5.043344588166431524e+06,-9.074395080172969756e+03
3.700000000000000178e+00,1.291707073940837063e+03,1.759329308558265438e+03,-4.080685393954631872e+06,-9.631881866263656775e+03
3.799999999999999822e+00,-6.567371755945110579e+01,-4.973093171650507429e+02,5.960363954047787003e+06,-9.632999198253903160e+03
3.899999999999999911e+00,-1.217902654955708613e+03,-1.476240624563418805e+03,-1.330612085156147368e+06,-9.260199287413088314e+03
4.000000000000000000e+00,6.400928241810636337e+02,1.250593171229435939e+03,-2.773972904618853703e+06,-9.515272239248841288e+03
4.099999999999999645e+00,7.833496023243297941e+02,7.287088165105641338e+02,2.960656683762790635e+06,-9.577513991777745105e+03
4.200000000000000178e+00,-1.004462376757067432e+03,-1.455384148717510470e+03,-3.925895079988561920e+05,-9.364165146895291400e+03
4.299999999999999822e+00,1.717463517671565114e+02,6.623260133013064888e+02,-1.652307901628082851e+06,-9.480342008155894291e+03
4.400000000000000355e+00,9.951183120497528307e+02,9.411341439586666411e+02,1.533493319573617075e+06,-9.533416519283442540e+03
4.500000000000000000e+00,-1.572239942011877247e+03,-2.032609347601252693e+03,-6.521294939702284319e+04,-9.423858743997974670e+03
4.599999999999999645e+00,-4.560143406413531011e+02,1.571093572466966748e+02,-9.571256119714735541e+05,-9.477970309239335620e+03
4.700000000000000178e+00,1.955358801819887731e+03,1.993671910716097273e+03,7.905181633792088833e+05,-9.500284925349165860e+03
4.799999999999999822e+00,-3.877613140832095837e+02,-1.011659607373294875e+03,2.851303515211719423e+04,-9.437531002512032501e+03
4.900000000000000355e+00,-9.618949730840300845e+02,-6.105108555180648864e+02,-5.581315606801857939e+05,-9.477846484234954914e+03
5.000000000000000000e+00,8.647813499591680966e+02,1.160888963379117740e+03,3.985973369030763861e+05,-9.499704110423490420e+03
5.099999999999999645e+00,3.203583230665925612e+02,1.874782248232946813e+00,4.558171065018152876e+04,-9.456052182007137162e+03
5.200000000000000178e+00,-3.668478643550271272e+02,-2.811233682384750523e+02,-3.234503489783511031e+05,-9.471716311119140300e+03
5.299999999999999822e+00,-5.257788733343545573e+02,-3.388440896905567001e+02,2.062274055650374212e+05,-9.487561551068618428e+03
5.400000000000000355e+00,-4.942964066593953589e+02,-6.706439375348533076e+02,5.753845948881415097e+04,-9.463465272037754403e+03
5.500000000000000000e+00,6.211430868078424510e+02,5.840349195466901620e+02,-1.762630284829312586e+05,-9.473733436896254716e+03
5.599999999999999645e+00,6.334488899610978478e+02,7.820454918184016151e+02,9.993270709875266766e+04,-9.488729871107920189e+03
5.700000000000000178e+00,-3.910362078025643200e+02,-3.479695888886296871e+02,3.893405008708628156e+04,-9.478641736077430323e+03
5.799999999999999822e+00,-4.714900454954316444e+01,-6.315169901918221740e+01,-1.002902005837609904e+05,-9.482612065460771191e+03
5.900000000000000355e+00,3.210968409696236563e+02,2.852143446085773348e+02,4.807449330379491585e+04,-9.486193664420923596e+03
6.000000000000000000e+00,-5.803259794475150102e+02,-5.892824804335667750e+02,2.892021436467031162e+04,-9.477488106955224794e+03
6.099999999999999645e+00,-6.183518528711167619e+02,-5.385063110896977605e+02,-5.449294296370513621e+04,-9.475101363134968778e+03
6.200000000000000178e+00,6.615550516311814135e+02,7.396049216541313172e+02,2.058857568788721619e+04,-9.469136208725056349e+03
6.299999999999999822e+00,7.878218788880808461e+02,7.178957289857887645e+02,1.695759155999337599e+04,-9.467368192308200378e+03
6.400000000000000355e+00,-3.414995556270494035e+02,-5.306606930933404556e+02,-2.989239573069157996e+04,-9.484675510510011009e+03
6.500000000000000000e+00,-6.527069714660948421e+02,-4.333924042450276488e+02,8.132532440469519315e+03,-9.495697432944798493e+03
6.599999999999999645e+00,2.335818332418968453e+02,6.041501414017001252e+02,6.372453434527179525e+03,-9.488911748531703779e+03
6.700000000000000178e+00,6.477857620837338573e+02,2.738306877739788092e+02,-2.205266982585225924e+04,-9.486026729535917184e+03
6.799999999999999822e+00,-2.812361804547103930e+02,-5.490203379726441426e+02,1.218284030405134899e+03,-9.491990081122796255e+03
6.900000000000000355e+00,-6.359569652757054428e+02,-2.053791289635782391e+02,6.903152994320007565e+03,-9.489638453320067129e+03
7.000000000000000000e+00,3.751645486894753958e+02,4.059476063948205251e+02,-8.901771718185967984e+03,-9.478025541599066855e+03
7.099999999999999645e+00,4.542773461329177280e+02,2.415150017276957897e+02,1.632578183641642681e+03,-9.474400685819549835e+03
7.200000000000000178e+00,-6.022845002551006246e+02,-3.917405382001747967e+02,4.875510672217943466e+03,-9.483366673372434889e+03
7.299999999999999822e+00,-5.218099085120792324e+01,-1.361722573739467634e+02,-5.759200033390483441e+03,-9.494543763310733993e+03
7.400000000000000355e+00,8.911254482251474656e+02,6.726006413213385713e+02,-9.740215766132237150e+02,-9.497014426482744966e+03
7.500000000000000000e+00,-4.342192289514041477e+02,-4.176088455995169113e+01,3.083127695714090351e+03,-9.488461979890715156e+03
7.599999999999999645e+00,-8.294527053968109840e+02,-8.138761397172224861e+02,-2.145566141648912435e+03,-9.481634456234762183e+03
7.700000000000000178e+00,7.671899094410397311e+02,3.540474729484590171e+02,-7.805978858643971989e+02,-9.482172700615874419e+03
7.799999999999999822e+00,5.167018753260722406e+02,8.884392290593173129e+02,6.619288211863332663e+02,-9.477834449101625069e+03
7.900000000000000355e+00,-6.337413205334664781e+02,-3.981708262940367149e+02,-3.061327459020451897e+03,-9.475032044754576418e+03
8.000000000000000000e+00,-1.109992934126062210e+02,-6.091963771468040250e+02,-1.254593198657072890e+03,-9.481621732396226435e+03
8.099999999999999645e+00,3.762613615312689035e+02,4.999234645246022524e+02,1.809396677173889657e+03,-9.481853392048160458e+03
8.199999999999999289e+00,-1.882949737110189403e+02,2.150926149020437776e+02,-3.654912901095158304e+03,-9.484074866409977403e+03
8.300000000000000711e+00,-4.534363647531195056e+02,-7.809640118925548222e+02,-1.058695526871273978e+04,-9.498274449338663544e+03
8.400000000000000355e+00,5.624285226559601369e+01,8.289608470504049365e+00,-1.054006578692309995e+04,-9.499415408179562291e+03
8.500000000000000000e+00,6.694017023261301347e+02,1.041714409815159570e+03,-4.892834266325871795e+03,-9.488784767210097925e+03
8.599999999999999645e+00,2.652854158335253487e+02,2.203647712663919833e+01,5.543038154249530862e+02,-9.488232592624815879e+03
8.699999999999999289e+00,-8.483039089115694651e+02,-9.518264646744901256e+02,2.424042245561476193e+03,-9.487416624269697422e+03
8.800000000000000711e+00,-4.413374164328714642e+02,-1.098006569977933680e+02,3.615102805971588168e+03,-9.480287713418569183e+03
8.900000000000000355e+00,7.868633746998361858e+02,6.242265555731053155e+02,2.343508199881941891e+03,-9.482766285298786897e+03
9.000000000000000000e+00,3.578489507237846965e+02,2.975731686500724891e+02,-1.908467068216475809e+03,-9.490457317301721559e+03
9.099999999999999645e+00,-5.322550902106434023e+02,-3.723923146256570931e+02,-9.654310020653790616e+02,-9.483965005826981724e+03
9.199999999999999289e+00,-1.205580590743043103e+02,-2.281122212001840808e+02,1.697383434966935965e+03,-9.471293143686729309e+03
9.300000000000000711e+00,8.591260497320781724e+02,1.025508591679710435e+03,-4.208869260493881370e+02,-9.472064495702523345e+03
9.400000000000000355e+00,8.442554031767315337e+00,-1.574767177064857719e+02,-8.765331895455058202e+02,-9.476416453945368630e+03
9.500000000000000000e+00,-1.805460147948010672e+03,-2.013895079400745090e+03,8.766012654316838280e+02,-9.468582788900850574e+03
9.599999999999999645e+00,3.048544505432704455e+02,9.168168344063883524e+02,7.713395421809346431e+01,-9.462115650718007601e+03
9.699999999999999289e+00,2.199223519950924583e+03,2.034814626304655803e+03,-1.619143313788698606e+02,-9.473251152222386736e+03
9.800000000000000711e+00,-8.712409282633898329e+02,-1.345035069678367790e+03,7.493660011665748470e+02,-9.482611092320023090e+03
9.900000000000000355e+00,-1.364335720158742106e+03,-8.423512618853849290e+02,1.259324938815819053e+02,-9.470939013623737992e+03
1.000000000000000000e+01,9.741490551794051953e+02,1.009365242188487969e+03,1.773315501314436915e+01,-9.461919997937115113e+03
1.009999999999999964e+01,2.091146923429117237e+02,-1.596574145401249609e+02,5.255668062511213066e+02,-9.469615418843244697e+03
1.019999999999999929e+01,-5.910787358837542342e+02,-3.477666082445908842e+02,-1.970059640686243085e+02,-9.473199045694080269e+03
1.030000000000000071e+01,3.424759546962840773e+02,5.067150090064121741e+02,-3.348344425217502476e+02,-9.466938423098556086e+03
1.040000000000000036e+01,4.564692087392637632e+02,2.808580213207858947e+02,2.853073344275573504e+02,-9.461748865766228846e+03
1.050000000000000000e+01,-3.700290633207629298e+02,-3.591662411600742644e+02,-2.798659022635366966e+01,-9.463836445542381625e+03
1.059999999999999964e+01,-1.667542895352806340e+02,-1.489262765681178280e+01,-2.198969561823279548e+02,-9.473997066911211732e+03
1.069999999999999929e+01,4.823831669044121782e+02,4.028856142543863257e+02,1.404225632345064980e+02,-9.482803067331562488e+03
1.080000000000000071e+01,-4.180060449209751141e+02,-4.761016602148059746e+02,4.584275796901806643e-01,-9.484978608758825430e+03
1.090000000000000036e+01,-4.419502439629879973e+02,-3.441829822231306366e+02,-1.496524136411692325e+02,-9.489662837427218619e+03
1.100000000000000000e+01,6.297890626035302830e+02,6.612377475143440506e+02,4.641333927433096562e+01,-9.494785249551594461e+03
1.109999999999999964e+01,1.961087909699330822e+01,1.420498497959965789e+01,3.276538758109925453e+00,-9.487320836988688825e+03
1.119999999999999929e+01,-3.032619266133102087e+02,-3.601772921077955516e+02,-8.198750205861729512e+01,-9.477054620417893602e+03
1.130000000000000071e+01,5.755655913780836954e+02,6.376422072641141767e+02,1.693845167496820636e+01,-9.479496033576411719e+03
1.140000000000000036e+01,1.248402539843477257e+02,1.822104809419684557e+02,-3.751240956443560037e+00,-9.482816414466538845e+03
1.150000000000000000e+01,-9.024773912262238582e+02,-9.692733567525121998e+02,-5.465472277233468645e+01,-9.479765690837442889e+03
1.159999999999999964e+01,-1.984419291563444858e+02,-6.702412263089289013e+01,1.299749980151767303e+01,-9.484034338711064265e+03
1.169999999999999929e+01,4.557336751326194531e+02,3.617687890835898088e+02,4.285103553410834110e+01,-9.492317062315756630e+03
1.180000000000000071e+01,-1.761844005749931057e+02,-3.502362084535272402e+02,3.673360983137939684e+01,-9.489987737528024809e+03
