# STATION 
# START_TIME 2023-04-18T15:21:14.000000Z
# SAMPING_FREQ 10.0
# NDAT 26070
# time [s],f004,f005,f006,f007
0.000000000000000000e+00,-4.036939317760732115e-02,-4.321784184464044255e-03,-2.493211103385885655e-02,-8.021493372679476888e-03
1.000000000000000056e-01,-1.428693455381035093e+01,-1.455022623244774937e+00,-8.703541445287688916e+00,-2.813412790927080742e+00
2.000000000000000111e-01,-2.004265562523427207e+02,-2.017091971445338672e+01,-1.221245360728811420e+02,-3.943946657501173547e+01
2.999999999999999889e-01,-9.097706002922859625e+02,-9.087049995128182900e+01,-5.544620547750093920e+02,-1.786006990628099516e+02
4.000000000000000222e-01,-1.908544116242792825e+03,-1.893173935937292924e+02,-1.163728742238657560e+03,-3.734551116060885079e+02
5.000000000000000000e-01,-2.147135799105698425e+03,-2.109716509825209414e+02,-1.310584570355299547e+03,-4.188212633128321727e+02
5.999999999999999778e-01,-1.690398823504854590e+03,-1.648030832046896421e+02,-1.032464575108369900e+03,-3.299816859031415675e+02
6.999999999999999556e-01,-1.698047042953273831e+03,-1.688027163504995087e+02,-1.034592790612920908e+03,-3.321542988064858832e+02
8.000000000000000444e-01,-1.951622905287970980e+03,-1.978380743165099886e+02,-1.187703427793136143e+03,-3.797680255957920963e+02
9.000000000000000222e-01,-1.799231777053835458e+03,-1.819497391365860608e+02,-1.094992827729804503e+03,-3.500566927386664702e+02
1.000000000000000000e+00,-1.742978093827824978e+03,-1.760374411122248830e+02,-1.057411233219060250e+03,-3.414526692983990870e+02
1.100000000000000089e+00,-1.882139380522984766e+03,-1.928894728844846327e+02,-1.140811288122344877e+03,-3.669326121828404439e+02
1.199999999999999956e+00,-1.816769029454316296e+03,-1.837966417476826848e+02,-1.106864706272071999e+03,-3.525181219734554361e+02
1.300000000000000044e+00,-1.770339570358204583e+03,-1.758502954354086683e+02,-1.079971787417113319e+03,-3.477610203594863378e+02
1.399999999999999911e+00,-1.845370396330651602e+03,-1.891001855391410800e+02,-1.119804243244923782e+03,-3.662582086059473454e+02
1.500000000000000000e+00,-1.819531835574370234e+03,-1.869527157869018765e+02,-1.100025116141852550e+03,-3.586462814493496580e+02
1.600000000000000089e+00,-1.794963988489899748e+03,-1.758086978313564259e+02,-1.080475757306700871e+03,-3.515197294097094982e+02
1.699999999999999956e+00,-1.834119346604784141e+03,-1.781223848199811641e+02,-1.104644539141984751e+03,-3.635339628022109082e+02
1.800000000000000044e+00,-1.815722300452284344e+03,-1.767668801802777239e+02,-1.103393534903849286e+03,-3.631480563364814316e+02
