# STATION 
# START_TIME 2023-05-02T15:18:41.000000Z
# SAMPING_FREQ 10.0
# NDAT 20590
# time [s],f000,f001,f002,f003
0.000000000000000000e+00,-7.324114561095504405e-02,3.274078927624275606e-04,1.080446046116011064e-03,-3.892225029159738781e-01
1.000000000000000056e-01,-1.344332143948795633e+01,6.992017455787703784e-02,3.092295306617759976e-01,-1.372250929584149617e+02
2.000000000000000111e-01,-1.359442019641842592e+02,1.060445724749158547e+00,4.202073293408344234e+00,-1.923093231444452613e+03
2.999999999999999889e-01,-4.110991086682972195e+02,5.189369516342574151e+00,1.920622827105967190e+01,-8.719120746917335055e+03
4.000000000000000222e-01,-3.630886398709298533e+02,1.110119309100587870e+01,4.150316126514628934e+01,-1.826215928483164316e+04
5.000000000000000000e-01,2.320733661019783369e+02,1.078802917247321069e+01,4.885777954062659489e+01,-2.049690300872897569e+04
5.999999999999999778e-01,3.562205653125159870e+02,4.822783746755026968e+00,3.994933373869931614e+01,-1.611288900018146887e+04
6.999999999999999556e-01,-1.918130123938486236e+02,5.387657104712896938e+00,4.111105561129411967e+01,-1.624229486622213517e+04
8.000000000000000444e-01,-2.023551650095911327e+02,9.803761944588266886e+00,5.038013246771964759e+01,-1.868477794167083630e+04
9.000000000000000222e-01,2.650021284228519107e+02,7.080632759619875927e+00,4.642383422332083853e+01,-1.716324820800531961e+04
1.000000000000000000e+00,2.031748894283344953e+02,4.736535308795001953e+00,3.836606718163470475e+01,-1.660556793985331024e+04
1.100000000000000089e+00,-2.756717809507964603e+02,8.176123930563960585e+00,4.071017603919888472e+01,-1.797815999906927755e+04
1.199999999999999956e+00,-1.453653142033720940e+02,7.730348255469011498e+00,4.469582864105216657e+01,-1.736353475294117379e+04
1.300000000000000044e+00,4.283919592336792448e+02,4.204329163007404446e+00,4.424816983504790358e+01,-1.690934916160674038e+04
1.399999999999999911e+00,5.066687745115618213e+01,1.252968753644522870e+01,4.504006991720103770e+01,-1.764003517147625462e+04
1.500000000000000000e+00,-5.237979481639933965e+02,3.841125238026131683e+02,4.434812618958066821e+01,-1.740578394048108021e+04
1.600000000000000089e+00,2.111761823801986111e+02,2.479610118868577047e+03,3.019019374494352093e+01,-1.725070422640789911e+04
1.699999999999999956e+00,6.826118453277085791e+02,5.336109862693797368e+03,1.121679220313315639e+01,-1.783945727933820308e+04
1.800000000000000044e+00,-8.983624697957867511e+01,3.256406770248030170e+03,2.166978286035528356e+01,-1.761670803718623210e+04
1.899999999999999911e+00,-2.958385453540155368e+02,-2.035938821688926737e+03,5.239476152885762872e+01,-1.704944017452824119e+04
2.000000000000000000e+00,2.581052492903010034e+02,-1.255998871645188501e+03,5.136108443209207763e+01,-1.725531562355917413e+04
2.100000000000000089e+00,2.229070687779161233e+02,1.746016108949418367e+03,3.299628586057993118e+01,-1.746126341868654708e+04
2.200000000000000178e+00,-1.290814031618014326e+02,-1.773358917614322650e+02,4.008870530027180479e+01,-1.726490569483086438e+04
2.299999999999999822e+00,-7.333444412274059232e+01,-9.734093629398266785e+02,4.800437467302205619e+01,-1.728714773319388041e+04
2.399999999999999911e+00,1.493435459102961147e+02,7.921402220015983175e+02,4.049026149070483882e+01,-1.740213535156573198e+04
2.500000000000000000e+00,1.669365655346304891e+02,8.495060235778949220e+01,4.038240099476746536e+01,-1.730791113457034953e+04
2.600000000000000089e+00,-1.321384924212820238e+02,-5.678773254360420424e+02,4.278516246044883076e+01,-1.728425989091249357e+04
2.700000000000000178e+00,-1.567100431268958118e+02,3.813823152255445734e+02,4.058216857778936060e+01,-1.734610098927794752e+04
2.799999999999999822e+00,4.041547457811004733e+02,1.021113382739874851e+02,4.426997738565684415e+01,-1.732710671845095567e+04
2.899999999999999911e+00,3.914445118136553674e+02,-3.179667848131848018e+02,4.715058466024468942e+01,-1.732891336082368070e+04
3.000000000000000000e+00,-2.077509642025383130e+01,1.852379077343882443e+02,4.917913217482048083e+01,-1.735010402463332866e+04
3.100000000000000089e+00,6.269050545177881304e+02,7.873888477931831176e+01,6.115332165309904155e+01,-1.731883528305557047e+04
3.200000000000000178e+00,1.163541205174942206e+03,-1.679858107088601002e+02,6.265819874197186579e+01,-1.731665208824595175e+04
3.299999999999999822e+00,4.535488352220143042e+02,1.127288761838025550e+02,3.593376272432089991e+01,-1.734789195700621349e+04
3.399999999999999911e+00,1.452446926697195977e+02,8.195459005659289176e+01,1.407548327569499058e+01,-1.735066880516059246e+04
3.500000000000000000e+00,2.945356325812772411e+02,-8.379547162092198676e+01,2.423520716873813541e+01,-1.735620672598961391e+04
3.600000000000000089e+00,-7.355414630914702911e+01,4.300853316567051365e+01,3.799125503229817724e+01,-1.737084998353489209e+04
3.700000000000000178e+00,8.129354088373699483e+01,3.980336673737021869e+01,3.690533185738343036e+01,-1.735895045837518410e+04
3.799999999999999822e+00,3.564729513984934215e+02,-4.633054695950538360e+01,3.913358702391404620e+01,-1.734205570603309025e+04
3.899999999999999911e+00,-3.587298154439155269e+02,2.283203988610977575e+01,4.595364522531783535e+01,-1.734550316408443177e+04
4.000000000000000000e+00,-4.454318331448591266e+02,2.866984487915865998e+01,4.778933862372423391e+01,-1.734713727871940500e+04
4.099999999999999645e+00,4.781980352633199800e+02,-2.139523589356250000e+01,4.703214538221452301e+01,-1.733451836981150700e+04
4.200000000000000178e+00,3.396074738661649803e+02,1.280020469475023148e+01,4.596223687341074537e+01,-1.732903744997498143e+04
4.299999999999999822e+00,-3.672324443302132977e+02,2.198765407988830134e+01,4.667578331502855349e+01,-1.733615264756577017e+04
4.400000000000000355e+00,8.443054870083661001e+01,-5.190733666549400382e+00,5.203255574940495620e+01,-1.734458881249877231e+04
4.500000000000000000e+00,4.975044794401383115e+02,8.854088258363020714e+00,5.551562961550889241e+01,-1.735746363728146025e+04
4.599999999999999645e+00,-2.928339677776534700e-01,1.753238531743042827e+01,4.612909952601413011e+01,-1.736004461964088841e+04
4.700000000000000178e+00,-2.304198543616064967e+02,6.829457054509115999e+00,3.211859856704783311e+01,-1.733741957356893545e+04
4.799999999999999822e+00,-2.347816718864193319e+01,1.009096806467515073e+01,3.153572943500427428e+01,-1.732863538815303036e+04
4.900000000000000355e+00,2.683717999520430908e+02,1.001809610933447914e+01,3.725773694735487140e+01,-1.735279902884683906e+04
5.000000000000000000e+00,4.015048449183614139e+02,4.494994164825042660e+00,3.792184976816272979e+01,-1.736104615646518869e+04
5.099999999999999645e+00,1.548752021321006396e+02,7.891223653790401471e+00,4.709677177742667453e+01,-1.733901718838507804e+04
5.200000000000000178e+00,2.815250795982744876e+02,6.250168853646890454e+00,7.127449326783512618e+01,-1.733066659514230560e+04
5.299999999999999822e+00,6.970946819660741767e+02,8.466748494961551241e-01,9.219727959180696075e+01,-1.734337881981399187e+04
5.400000000000000355e+00,2.885275059679328251e+02,1.197002368328758237e+01,8.795267631510597539e+01,-1.735438657528736803e+04
5.500000000000000000e+00,-5.641003166659604631e+02,2.746421488789576415e+01,4.767624265922415816e+01,-1.736066474275243672e+04
5.599999999999999645e+00,-5.410764826269023615e+02,1.779525099786435050e+01,2.204831296612822733e+00,-1.734974198553698807e+04
5.700000000000000178e+00,1.924709773618494921e+02,-8.234117855683191767e-01,1.799904768249020748e+01,-1.732908141949218771e+04
5.799999999999999822e+00,2.715864603710775782e+02,2.919628587217991456e+00,7.305107385690428146e+01,-1.733884539161840075e+04
5.900000000000000355e+00,-1.230554418383142661e+02,8.402462548726788327e+00,6.854492378781982609e+01,-1.735772443658128395e+04
6.000000000000000000e+00,5.901255095595816869e+01,-2.642948555259282406e-01,3.114026406702696903e+01,-1.734809805093267278e+04
6.099999999999999645e+00,2.559280388252161913e+02,-2.171632132876454513e+00,3.203059399092853710e+01,-1.733726364225603174e+04
6.200000000000000178e+00,8.639663271988666793e+00,-3.879872371201963155e+00,2.978534645143476922e+01,-1.734038954518217361e+04
6.299999999999999822e+00,-8.268189422493837526e+01,-1.806356888584322817e+01,2.726838938584843675e+01,-1.734512889349993202e+04
